Dataset,method,Experiment,RMSE
28_haberman,chain01_datawig,1,0.2069 ± 0.0777
28_haberman,chain01_datawig,2,0.1564 ± 0.0351
28_haberman,chain01_datawig,3,0.2150 ± 0.0555
28_haberman,chain01_datawig,4,0.1670 ± 0.1197
28_haberman,chain01_datawig,5,0.1677 ± 0.0916
28_haberman,chain01_datawig,6,0.2468 ± 0.1043
28_haberman,chain01_datawig,7,0.2002 ± 0.1413
28_haberman,chain01_datawig,8,0.2157 ± 0.0710
28_haberman,chain01_datawig,9,0.2999 ± 0.1082
28_haberman,chain01_datawig,10,0.2056 ± 0.0246
28_haberman,chain01_datawig,11,0.2052 ± 0.0576
28_haberman,chain01_datawig,12,0.1720 ± 0.1112
28_haberman,chain01_datawig,13,0.2737 ± 0.0943
28_haberman,chain01_datawig,14,0.2159 ± 0.1722
28_haberman,chain01_datawig,15,0.1772 ± 0.0614
28_haberman,chain01_datawig,16,0.2307 ± 0.0944
28_haberman,chain01_datawig,17,0.1818 ± 0.0649
28_haberman,chain01_datawig,18,0.2216 ± 0.0978
28_haberman,chain01_datawig,19,0.2161 ± 0.0085
28_haberman,chain01_datawig,20,0.2003 ± 0.0959
28_haberman,chain01_datawig,21,0.1957 ± 0.0962
28_haberman,chain01_datawig,22,0.2082 ± 0.1235
28_haberman,chain01_datawig,23,0.1789 ± 0.1131
28_haberman,chain01_datawig,24,0.2106 ± 0.0904
28_haberman,chain01_datawig,25,0.1873 ± 0.1090
28_haberman,chain01_datawig,26,0.2058 ± 0.0299
28_haberman,chain01_datawig,27,0.2195 ± 0.1245
28_haberman,chain01_datawig,28,0.2057 ± 0.0738
28_haberman,chain01_datawig,29,0.2407 ± 0.0690
28_haberman,chain01_datawig,30,0.1892 ± 0.0844
