Dataset,method,Experiment,RMSE
16_rice,chain01_datawig,1,0.1797 ± 0.0332
16_rice,chain01_datawig,2,0.1733 ± 0.0350
16_rice,chain01_datawig,3,0.1755 ± 0.0257
16_rice,chain01_datawig,4,0.1632 ± 0.0216
16_rice,chain01_datawig,5,0.1690 ± 0.0295
16_rice,chain01_datawig,6,0.1667 ± 0.0158
16_rice,chain01_datawig,7,0.1656 ± 0.0363
16_rice,chain01_datawig,8,0.1751 ± 0.0213
16_rice,chain01_datawig,9,0.1715 ± 0.0265
16_rice,chain01_datawig,10,0.1774 ± 0.0223
16_rice,chain01_datawig,11,0.1691 ± 0.0346
16_rice,chain01_datawig,12,0.1682 ± 0.0411
16_rice,chain01_datawig,13,0.1675 ± 0.0402
16_rice,chain01_datawig,14,0.1690 ± 0.0294
16_rice,chain01_datawig,15,0.1679 ± 0.0257
16_rice,chain01_datawig,16,0.1766 ± 0.0270
16_rice,chain01_datawig,17,0.1764 ± 0.0383
16_rice,chain01_datawig,18,0.1780 ± 0.0297
16_rice,chain01_datawig,19,0.1811 ± 0.0318
16_rice,chain01_datawig,20,0.1643 ± 0.0340
16_rice,chain01_datawig,21,0.1634 ± 0.0320
16_rice,chain01_datawig,22,0.1799 ± 0.0230
16_rice,chain01_datawig,23,0.1727 ± 0.0346
16_rice,chain01_datawig,24,0.1843 ± 0.0290
16_rice,chain01_datawig,25,0.1632 ± 0.0405
16_rice,chain01_datawig,26,0.1636 ± 0.0337
16_rice,chain01_datawig,27,0.1748 ± 0.0258
16_rice,chain01_datawig,28,0.1760 ± 0.0263
16_rice,chain01_datawig,29,0.1728 ± 0.0202
16_rice,chain01_datawig,30,0.1755 ± 0.0340
