Dataset,method,Experiment,RMSE
3_adult,chain02_datawig,1,0.1930 ± 0.1033
3_adult,chain02_datawig,2,0.2035 ± 0.1131
3_adult,chain02_datawig,3,0.1985 ± 0.0892
3_adult,chain02_datawig,4,0.1902 ± 0.0940
3_adult,chain02_datawig,5,0.1985 ± 0.1194
3_adult,chain02_datawig,6,0.1902 ± 0.1007
3_adult,chain02_datawig,7,0.1973 ± 0.1072
3_adult,chain02_datawig,8,0.2007 ± 0.1147
3_adult,chain02_datawig,9,0.1923 ± 0.0965
3_adult,chain02_datawig,10,0.1902 ± 0.0929
3_adult,chain02_datawig,11,0.1909 ± 0.0979
3_adult,chain02_datawig,12,0.1874 ± 0.0955
3_adult,chain02_datawig,13,0.1877 ± 0.0975
3_adult,chain02_datawig,14,0.1881 ± 0.0986
3_adult,chain02_datawig,15,0.1913 ± 0.0938
3_adult,chain02_datawig,16,0.1968 ± 0.0992
3_adult,chain02_datawig,17,0.1965 ± 0.0968
3_adult,chain02_datawig,18,0.1942 ± 0.0911
3_adult,chain02_datawig,19,0.1991 ± 0.1194
3_adult,chain02_datawig,20,0.1983 ± 0.1236
3_adult,chain02_datawig,21,0.1997 ± 0.0964
3_adult,chain02_datawig,22,0.1927 ± 0.0948
3_adult,chain02_datawig,23,0.1923 ± 0.1014
3_adult,chain02_datawig,24,0.1925 ± 0.1041
3_adult,chain02_datawig,25,0.1935 ± 0.0995
3_adult,chain02_datawig,26,0.2124 ± 0.1099
3_adult,chain02_datawig,27,0.1910 ± 0.0954
3_adult,chain02_datawig,28,0.1902 ± 0.0991
3_adult,chain02_datawig,29,0.1927 ± 0.0972
3_adult,chain02_datawig,30,0.1916 ± 0.0970
