Dataset,method,Experiment,RMSE
10_lympho,chain01_datawig,1,0.3973 ± 0.2296
10_lympho,chain01_datawig,2,0.3822 ± 0.1845
10_lympho,chain01_datawig,3,0.4070 ± 0.1824
10_lympho,chain01_datawig,4,0.4732 ± 0.2862
10_lympho,chain01_datawig,5,0.4500 ± 0.0984
10_lympho,chain01_datawig,6,0.3960 ± 0.1580
10_lympho,chain01_datawig,7,0.3927 ± 0.1736
10_lympho,chain01_datawig,8,0.3916 ± 0.1412
10_lympho,chain01_datawig,9,0.3774 ± 0.1429
10_lympho,chain01_datawig,10,0.4920 ± 0.3490
10_lympho,chain01_datawig,11,0.4745 ± 0.2991
10_lympho,chain01_datawig,12,0.4307 ± 0.2073
10_lympho,chain01_datawig,13,0.4336 ± 0.1747
10_lympho,chain01_datawig,14,0.5047 ± 0.2403
10_lympho,chain01_datawig,15,0.4568 ± 0.2298
10_lympho,chain01_datawig,16,0.4995 ± 0.2942
10_lympho,chain01_datawig,17,0.3944 ± 0.1199
10_lympho,chain01_datawig,18,0.5528 ± 0.3096
10_lympho,chain01_datawig,19,0.3815 ± 0.1525
10_lympho,chain01_datawig,20,0.3701 ± 0.1461
10_lympho,chain01_datawig,21,0.3950 ± 0.1344
10_lympho,chain01_datawig,22,0.4006 ± 0.2110
10_lympho,chain01_datawig,23,0.4047 ± 0.1804
10_lympho,chain01_datawig,24,0.5590 ± 0.3326
10_lympho,chain01_datawig,25,0.3868 ± 0.0858
10_lympho,chain01_datawig,26,0.4207 ± 0.2016
10_lympho,chain01_datawig,27,0.4272 ± 0.1995
10_lympho,chain01_datawig,28,0.4605 ± 0.1918
10_lympho,chain01_datawig,29,0.5183 ± 0.3072
10_lympho,chain01_datawig,30,0.4645 ± 0.2097
10_lympho,chain03_datawig,1,0.3697 ± 0.1516
10_lympho,chain03_datawig,2,0.4022 ± 0.2563
10_lympho,chain03_datawig,3,0.3569 ± 0.1498
10_lympho,chain03_datawig,4,0.4425 ± 0.2143
10_lympho,chain03_datawig,5,0.3785 ± 0.1593
10_lympho,chain03_datawig,6,0.3448 ± 0.1356
10_lympho,chain03_datawig,7,0.3584 ± 0.1622
10_lympho,chain03_datawig,8,0.4154 ± 0.2031
10_lympho,chain03_datawig,9,0.3525 ± 0.1417
10_lympho,chain03_datawig,10,0.4613 ± 0.2571
10_lympho,chain03_datawig,11,0.4273 ± 0.1837
10_lympho,chain03_datawig,12,0.4120 ± 0.2860
10_lympho,chain03_datawig,13,0.4030 ± 0.1829
10_lympho,chain03_datawig,14,0.4806 ± 0.1831
10_lympho,chain03_datawig,15,0.4414 ± 0.2271
10_lympho,chain03_datawig,16,0.4452 ± 0.2440
10_lympho,chain03_datawig,17,0.3929 ± 0.1984
10_lympho,chain03_datawig,18,0.5209 ± 0.2523
10_lympho,chain03_datawig,19,0.3698 ± 0.1499
10_lympho,chain03_datawig,20,0.3528 ± 0.1673
10_lympho,chain03_datawig,21,0.3959 ± 0.1727
10_lympho,chain03_datawig,22,0.4208 ± 0.3282
10_lympho,chain03_datawig,23,0.4182 ± 0.1657
10_lympho,chain03_datawig,24,0.5129 ± 0.2196
10_lympho,chain03_datawig,25,0.4066 ± 0.1434
10_lympho,chain03_datawig,26,0.3858 ± 0.2017
10_lympho,chain03_datawig,27,0.4141 ± 0.2005
10_lympho,chain03_datawig,28,0.4755 ± 0.2469
10_lympho,chain03_datawig,29,0.4755 ± 0.2360
10_lympho,chain03_datawig,30,0.4939 ± 0.1978
10_lympho,up_chain03_datawig,1,0.4085 ± 0.1987
10_lympho,up_chain03_datawig,2,0.3968 ± 0.2421
10_lympho,up_chain03_datawig,3,0.3956 ± 0.1571
10_lympho,up_chain03_datawig,4,0.4657 ± 0.2378
10_lympho,up_chain03_datawig,5,0.4165 ± 0.1267
10_lympho,up_chain03_datawig,6,0.4227 ± 0.1290
10_lympho,up_chain03_datawig,7,0.3875 ± 0.1562
10_lympho,up_chain03_datawig,8,0.4120 ± 0.1222
10_lympho,up_chain03_datawig,9,0.4001 ± 0.1331
10_lympho,up_chain03_datawig,10,0.4834 ± 0.2554
10_lympho,up_chain03_datawig,11,0.4860 ± 0.2971
10_lympho,up_chain03_datawig,12,0.4484 ± 0.1934
10_lympho,up_chain03_datawig,13,0.4295 ± 0.1747
10_lympho,up_chain03_datawig,14,0.5150 ± 0.2847
10_lympho,up_chain03_datawig,15,0.4533 ± 0.1814
10_lympho,up_chain03_datawig,16,0.4479 ± 0.2445
10_lympho,up_chain03_datawig,17,0.3802 ± 0.1403
10_lympho,up_chain03_datawig,18,0.5060 ± 0.2107
10_lympho,up_chain03_datawig,19,0.3886 ± 0.1385
10_lympho,up_chain03_datawig,20,0.3693 ± 0.1310
10_lympho,up_chain03_datawig,21,0.3939 ± 0.1372
10_lympho,up_chain03_datawig,22,0.4085 ± 0.2101
10_lympho,up_chain03_datawig,23,0.4099 ± 0.1599
10_lympho,up_chain03_datawig,24,0.5366 ± 0.2869
10_lympho,up_chain03_datawig,25,0.4347 ± 0.0963
10_lympho,up_chain03_datawig,26,0.4320 ± 0.2200
10_lympho,up_chain03_datawig,27,0.4087 ± 0.1437
10_lympho,up_chain03_datawig,28,0.5012 ± 0.2277
10_lympho,up_chain03_datawig,29,0.4866 ± 0.2196
10_lympho,up_chain03_datawig,30,0.4902 ± 0.2369
